epoch	loss	acc	lr	f1_score.avg
49	tensor(0.0428, device='cuda:0')	0.9846089646030733	0.00013604889600000005	0.9846103296391031
50	tensor(0.0493, device='cuda:0')	0.9826451961313761	0.00014693280768000007	0.982649545325377
51	tensor(0.0253, device='cuda:0')	0.9918012666306643	7.500000000000001e-05	0.9917917021881238
52	tensor(0.0179, device='cuda:0')	0.9943296185379744	7.500000000000001e-05	0.9943162119920451
53	tensor(0.0157, device='cuda:0')	0.9952133143502381	7.500000000000001e-05	0.9952205882352956
54	tensor(0.0165, device='cuda:0')	0.9944523540674555	7.500000000000001e-05	0.9944497726626897
55	tensor(0.0152, device='cuda:0')	0.9952624085620305	7.500000000000001e-05	0.9952696078431389
56	tensor(0.0159, device='cuda:0')	0.9947714664441062	7.500000000000001e-05	0.9947684001136703
57	tensor(0.0147, device='cuda:0')	0.9954587854092003	7.500000000000001e-05	0.9954656862745119
58	tensor(0.0133, device='cuda:0')	0.9957533506799549	7.500000000000001e-05	0.9957598039215707
59	tensor(0.0149, device='cuda:0')	0.9953851440915116	7.500000000000001e-05	0.9953921568627465
60	tensor(0.0127, device='cuda:0')	0.9962933870096715	7.500000000000001e-05	0.9962990196078447
61	tensor(0.0142, device='cuda:0')	0.9957042564681624	7.500000000000001e-05	0.9957107843137272
62	tensor(0.0119, device='cuda:0')	0.9961706514801905	7.500000000000001e-05	0.9961654589371992
63	tensor(0.0128, device='cuda:0')	0.9957288035740586	7.500000000000001e-05	0.9957352941176492
64	tensor(0.0104, device='cuda:0')	0.9967106878099072	7.500000000000001e-05	0.996715686274511
65	tensor(0.0119, device='cuda:0')	0.9959742746330208	7.500000000000001e-05	0.9959803921568644
66	tensor(0.0130, device='cuda:0')	0.9958024448917473	7.500000000000001e-05	0.9958088235294134
